resultId,raceId,driverId,constructorId,number,GridPosition,position,positionText,Position,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,EventName,circuitId,Abbreviation,nationality,TeamName,QualiTime,CircuitType,QualiDelta
25846,1098,830,9,1,1,1,1,1,25.0,57,1:33:56.736,5636736,44,6,1:36.236,202.452,1,2023,Bahrain Grand Prix,3,VER,Dutch,Red Bull,89.708,power,0.0
25847,1098,815,9,11,2,2,2,2,18.0,57,+11.987,5648723,37,7,1:36.344,202.225,1,2023,Bahrain Grand Prix,3,PER,Mexican,Red Bull,89.846,power,0.13800000000000523
25848,1098,4,117,14,5,3,3,3,15.0,57,+38.637,5675373,36,5,1:36.156,202.620,1,2023,Bahrain Grand Prix,3,ALO,Spanish,Aston Martin,90.336,power,0.6280000000000001
25849,1098,832,6,55,4,4,4,4,12.0,57,+48.052,5684788,37,14,1:37.130,200.588,1,2023,Bahrain Grand Prix,3,SAI,Spanish,Ferrari,90.154,power,0.44599999999999795
25850,1098,1,131,44,7,5,5,5,10.0,57,+50.977,5687713,36,10,1:36.546,201.802,1,2023,Bahrain Grand Prix,3,HAM,British,Mercedes,90.384,power,0.6760000000000019
25851,1098,840,117,18,8,6,6,6,8.0,57,+54.502,5691238,32,9,1:36.546,201.802,1,2023,Bahrain Grand Prix,3,STR,Canadian,Aston Martin,90.836,power,1.1280000000000001
25852,1098,847,131,63,6,7,7,7,6.0,57,+55.873,5692609,33,17,1:37.221,200.401,1,2023,Bahrain Grand Prix,3,RUS,British,Mercedes,90.34,power,0.632000000000005
25853,1098,822,51,77,12,8,8,8,4.0,57,+1:12.647,5709383,31,18,1:37.379,200.075,1,2023,Bahrain Grand Prix,3,BOT,Finnish,Alfa Romeo,91.443,power,1.7349999999999994
25854,1098,842,214,10,20,9,9,9,2.0,57,+1:13.753,5710489,42,2,1:35.068,204.939,1,2023,Bahrain Grand Prix,3,GAS,French,Alpine F1 Team,92.181,power,2.472999999999999
25855,1098,848,3,23,15,10,10,10,1.0,57,+1:29.774,5726510,43,15,1:37.144,200.559,1,2023,Bahrain Grand Prix,3,ALB,Thai,Williams,91.461,power,1.7530000000000001
